designation	obsid	ra	dec	snrg	subclass	teff	teff_err	feh_err	feh	logg_err	logg	spectral_type	quality
J064639.23+051708.4	655803075	101.66349	5.2856913	63.54	A1	9967.28	68.63	0.059	0.409	0.097	3.579	B9.5 IV  Si	good
J064645.85+254403.6	221105208	101.69107	25.734339	369.44	A5	9624.8	88.14	0.048	0.95	0.109	4.205	kA3hA5mA7  SiEu	
J064712.38+014855.4	898102165	101.801586	1.8154128	82.32	A5	11779.6	48.6	0.04	0.935	0.068	3.699	Unclassifiable	
J064721.18+053019.7	1160113010	101.8382804	5.5054928	75.26	A1	12255.3	34.75	0.029	0.789	0.049	3.867	A0 II	good
J064955.47+014912.1	898102030	102.480077	1.820037	54.79	A3	12635.7	43.86	0.038	0.651	0.063	4.228	B8 III-IV  Si	vgood
J064959.82+293304.5	46111215	102.49927	29.551263	103.67	A1	9879.25	105.08	0.084	0.875	0.145	3.606	B9 V  Si	good
J065001.92+222234.9	686605096	102.5080175	22.3763867	74.53	A1	9421.11	44.44	0.037	0.544	0.063	3.754	kB8hA1mA5  SiEu	
J065018.51-005032.0	265708092	102.5771614	-0.8422411	103.3	A5	7108.82	230.74	0.185	-0.878	0.318	3.918	A1 II-III  SrSi	good
J065104.86+075706.7	29915175	102.77025	7.951875	116.97	A2							B7 III	vgood
J065104.86+075706.6	615904164	102.7702686	7.9518478	252.01	A2							B5 III-IV	vgood
J065142.50+004910.1	1089214110	102.927092	0.819487	51.48	A1	11854.1	36.6	0.032	0.852	0.052	4.068	B9 II-III  Si	good
J065155.08+113954.9	415707094	102.97954	11.665257	51.76	A5	9569.24	64.06	0.055	0.527	0.092	3.931	A7 V  SrEu	good
J065218.34+101233.2	1046907164	103.0764172	10.2092381	82.15	A1	9509.17	69.16	0.057	0.63	0.097	3.611	A0 IV-V  Si	good
J065236.40-012411.8	757306193	103.151668	-1.4033	77.77	A1							B9.5 II	vgood
J065240.96-010814.8	840306099	103.170706	-1.137448	60.25	A1							Unclassifiable	
J065309.52-004741.7	265706042	103.289681	-0.794939	118.06	A2							B9.5 II	vgood
J065332.44+044458.3	30001040	103.38517	4.7495552	87.11	A2	12129.8	41.01	0.034	0.905	0.057	3.875	B9.5 II-III  Si	vgood
J065335.32+011002.2	1089214146	103.397172	1.167305	61.89	A1	11558.5	38.32	0.033	0.615	0.054	3.951	Unclassifiable	
J065405.96-000928.2	1089210070	103.5248508	-0.1578392	60.33	A1	9812.64	57.43	0.049	0.334	0.082	3.537	B9.5 IV-V  Si	good
J065413.40+330001.7	170807167	103.55584	33.000494	64.02	A1	10099.7	76.29	0.065	0.52	0.108	3.569	Unclassifiable	
J065421.56+063548.1	615908202	103.5898458	6.5967146	141.03	A1							B5 IV	vgood
J065500.42+143935.3	84210175	103.75176	14.659808	186.36	A2							B8 IV  Si	vgood
J065509.52-031634.5	696613119	103.789707	-3.276253	148.13	A1	10701.3	18.21	0.013	-0.081	0.024	3.633	Unclassifiable	
J065650.57+024301.2	898108160	104.2107446	2.7170163	104.14	A1	9684.58	35.83	0.029	0.309	0.049	3.607	A0 III-IV  SrSi	vgood
J065657.15-013813.5	1187810208	104.2381445	-1.6370943	51.67	A1	11305.8	63.7	0.055	0.853	0.091	3.75	B9.5 III  Si	vgood
J065701.20-005852.9	255705242	104.2546944	-0.98136806	223.17	A1	11629.7	10.91	0.007	0.257	0.014	4.069	B9 III	vgood
J065718.29+172022.3	1067401077	104.3262244	17.3395494	82.65	A1	9829.2	37.27	0.031	0.349	0.052	3.553	B9 V  Si	good
J065721.23+172451.8	1067401082	104.3396972	17.41386889	314.18	A1	10314.1	71.89	0.04	0.644	0.089	3.519	B9 V  Si	good
J065804.86+274322.2	257601032	104.52025	27.722846	72.42	A7	7360.05	46.11	0.039	-0.314	0.065	3.978	kA4hA6mA8  SiEu	
J065848.22+015640.7	869311011	104.7009364	1.944656	73.61	A1	11640.6	32.97	0.028	0.712	0.046	4.196	B8 V  Si	vgood
J065853.59+012655.4	869315201	104.723327	1.44873	84.72	A1	11178.8	35.82	0.03	0.655	0.05	3.666	B9 IV  Si	vgood
J065936.95+134739.9	392011062	104.90399	13.794436	88.33	F0	7228.62	78.84	0.065	-0.228	0.11	4.1	kA2hA5mA8  SiEu	
J065950.73+073950.0	1186703069	104.9613918	7.6639004	251.19	A2							B9.5 IV-V  Si	vgood
J070017.84-022604.9	1187802208	105.0743688	-2.4347211	99.66	A5	11200.3	41.27	0.033	0.776	0.057	4.13	A1 II-III  (Sr)SiEu	vgood
J070048.61-011012.7	869305009	105.202569	-1.170213	86.91	A2	9368.18	59.14	0.049	-0.034	0.083	3.504	A0 V  Si	vgood
J070131.79+154048.3	84404055	105.38248	15.680101	88.75	A2	10675.3	68.44	0.056	0.835	0.095	3.552	B8 V  Si	vgood
J070136.90+102646.9	1223311019	105.4037576	10.4463674	98.17	A1							B8 V  Si	vgood
J070208.71+012937.9	1187811218	105.5363028	1.4938779	113.51	A1	11197.4	55.82	0.044	0.692	0.076	3.681	B9 III-IV  Si	vgood
J070255.58+012119.9	869309051	105.731613	1.355537	84.17	A1	9986.46	46.38	0.038	0.167	0.065	3.538	B9.5 IV  Si	good
J070302.69+090544.4	1223315143	105.7612198	9.0956782	227.27	A1							Unclassifiable	
J070304.82+063845.9	396301206	105.7701067	6.6460889	56.83	F0							kA3hA7mF0  SiEu	
J070419.94+090010.6	1223315136	106.0831209	9.0029627	272.21	A3							kA0hA1mA3  SiEu	
J070425.42+084030.5	1223304235	106.1059452	8.6751626	288.21	A1							B8 V  Si	vgood
J070448.45+083249.3	396304087	106.2018917	8.5470369	124.73	A1							B7 IV-V  Si	vgood
J070458.76+044221.5	814804187	106.2448736	4.7059825	70.28	A5	9342.53	42.72	0.036	0.669	0.06	4.24	A9 V  Sr	poor
J070459.52+365525.2	185003203	106.24804	36.923673	116.39	F0	6984.58	245.41	0.192	-0.336	0.335	4.014	F3 V Fe-0.5 (Sr)	good
J070532.68+293053.1	134615222	106.3862	29.514773	81.55	A1	11038.3	37.19	0.031	0.648	0.052	3.67	Unclassifiable	
J070556.11-015350.3	1173914016	106.4838086	-1.8973312	126.22	A1	9842.5	91.25	0.07	0.773	0.124	3.628	?? V	poor
J070608.65+005700.8	869313173	106.536067	0.950228	83.56	A2							A0 IV-V  SrSi	good
J070619.02+142039.2	84407188	106.57925	14.344228	53.67	F0	7147.81	54.37	0.047	-0.188	0.078	4.007	F2 V Sr Sr	vgood
J070639.20-030053.1	989015169	106.6633647	-3.0147744	157	A1	11997.1	37.44	0.027	0.833	0.049	4.195	kB9hA1mA2  Si	
J070737.87+041941.7	814804077	106.907811	4.328264	120.83	A1	11556.3	52.03	0.04	0.948	0.071	3.815	B8 III  Si	fair
J070915.71+241321.1	1109713084	107.315462	24.2225523	116.98	A1	11313.1	60.26	0.047	0.731	0.082	3.563	F0 mA0 V Lam Boo	
J070934.29+120206.4	656302017	107.3928869	12.0351331	67.68	A5							A0 III-IV  SrSiEu	good
J070945.26+093034.2	396313246	107.4385922	9.5095133	65.07	A5							A0 III-IV  SrSiEu	good
J071026.62-024253.9	939411226	107.61093	-2.714983	89.63	A2	9592.3	54.01	0.044	0.611	0.075	3.647	A0 IV-V  SrSiEu	vgood
J071040.94+083053.3	960605145	107.67059	8.5148188	129.48	A1	9423.19	62.6	0.048	0.667	0.085	3.546	B9 V  Si	good
J071112.84+104959.5	525611066	107.80354	10.833222	135.38	F0	7110.29	353.08	0.266	0.173	0.474	3.393	kA2hA5mA9  SiEu	
J071122.01+073107.6	369614200	107.8417297	7.5188014	102.73	A5	9320.62	84.68	0.068	0.916	0.117	3.878	A1 III-IV  SrSiEu	good
J071128.77+121116.9	656302075	107.869875	12.1880461	133.98	F0	7225.82	217.97	0.164	0.167	0.293	3.67	kA3hA9mA8  SiEu	
J071128.77+121117.0	128702071	107.86989	12.188056	51.69	F0	7261.32	103.47	0.089	0.177	0.148	3.699	kA3hA9mA8  SiEu	
J071129.97+162328.4	300904187	107.87488	16.391237	72.38	F0	7096.66	90.18	0.076	-0.272	0.127	3.884	kA4hF2mF2  Eu	
J071148.64+222615.6	210003213	107.9527	22.437694	52.99	F0	7164.98	57.81	0.05	-0.581	0.083	4.055	F1 V Fe-0.9 (Sr)	vgood
J071241.46+073928.4	769314152	108.17276	7.65789	365.77	A1	12856.5	11.85	0.007	0.788	0.015	4.074	kA2hF4mG6	
J071306.92-022604.0	939412133	108.278869	-2.434461	115.49	A3	9938.91	86.72	0.068	0.924	0.118	3.754	kA2hA7mA7  SiEu	
J071309.21-020821.5	336012241	108.288406	-2.139323	52.67	A5	9396.69	84.11	0.073	0.735	0.12	3.631	A0 IV-V  SrSi	good
J071442.47+122207.0	656301140	108.6769725	12.3686206	169.92	F0	7481.37	89.37	0.062	0.008	0.116	3.895	kA2hA7mF0  SiEu	
J071630.50+151912.3	656309083	109.1270883	15.3200986	240.54	A7							A1 IV  SrSiEu	good
J071640.79+013150.7	724615158	109.1699803	1.5307639	139.4	A2							kA2hA3mK2	
J071704.03-042814.5	989006035	109.26785	-4.47034	147.14	A1							B9 III  Si	vgood
J071740.58-015230.6	269001048	109.418988	-1.875821	173.68	A2	9387.02	21.3	0.015	-0.057	0.028	3.512	A0 IV  Si	vgood
J071801.00-003515.8	88610129	109.50417	-0.58773	52.47	A7	8613.78	86.47	0.075	0.908	0.123	4.06	A9 V  SrSiEu	good
J071919.73-011906.1	88710027	109.83223	-1.318362	116.9	F0	7268.77	91.75	0.072	-0.037	0.125	3.91	F0 V Sr Sr	good
J071922.99+002413.2	724604058	109.8457994	0.4036753	63.64	A2							B9 V  Si	fair
J072200.94+160203.1	397614141	110.50393	16.034211	52.68	F0							kA5hA9mF0  SiEu	
J072234.69+100212.9	129203040	110.64455	10.036929	55.16	A5	8883.49	72.57	0.063	0.897	0.103	4.315	A1 III-IV  SrSiEu	good
J072318.92+264007.2	133810016	110.82886	26.668672	63.42	F0	7060.82	100.33	0.086	-0.296	0.142	3.891	kA3hA7mF0  SiEu	
