designation	obsid	ra	dec	snrg	subclass	teff	teff_err	feh_err	feh	logg_err	logg	spectral_type	quality
J205131.20+182331.0	841510166	312.880027	18.391965	211.92	F0	6854.2	32.79	0.02	-0.484	0.041	4.205	kA3hA6mA9  Eu	
J205739.27+350731.5	1145514139	314.4136651	35.1254389	315.73	A5							kA2hA5mA7  SiEu	
J205817.54+361430.5	373009018	314.5731147	36.2418308	112.71	A6	8846.51	61.65	0.049	0.785	0.084	3.992	kA4hA7mA8  SiEu	
J205917.54+431444.1	587908022	314.8231	43.245606	120.2	A2	11448.9	40.44	0.031	0.743	0.055	4.102	B8 IV  Si	vgood
J210203.41+185852.8	841504103	315.5142094	18.9813392	288.1	F0							kA3hA7mF1  SiEu	
J210230.37+001019.3	370301047	315.6265458	0.17205	60.03	F0	6797.73	86.5	0.074	-0.395	0.123	3.954	kA3hA5mF0  SiEu	
J210713.40+322951.1	1145501196	316.8058499	32.4975347	274.25	A1							Unclassifiable	
J210902.12+323223.1	1145501180	317.2588504	32.5397738	155.54	A1	11400.6	49.3	0.035	0.824	0.065	3.936	B9.5 III-IV  Si	good
J211407.24+342017.7	1145506083	318.5301935	34.3382516	615.32	A1	11734.3	15.09	0.008	0.585	0.019	3.579	Unclassifiable	
J212137.23+420422.7	255310004	320.405141	42.072986	59.94	F0	7379.08	159.78	0.137	0.547	0.227	3.683	kA2hA5mA8  SiEu	
J212303.67+122151.3	260814075	320.7653064	12.3642739	164.6	F0	7190.23	266.92	0.187	0.108	0.349	3.642	kA3hF2mF2  Eu	
J212526.87+323226.2	1048410196	321.3619639	32.5406338	179.2	A1	11912.9	29.14	0.02	0.937	0.038	3.89	B9.5 III	good
J212648.99+443244.5	255316238	321.7041422	44.5457114	75.76	A5	9283.08	84.7	0.071	0.884	0.119	3.663	A0 IV  SrSiEu	good
J212836.69+371529.4	471208246	322.152902	37.258189	184.91	A5	8865.89	48.45	0.032	0.279	0.062	3.69	A5 IV-V  Si	vgood
J213414.43+424239.1	172216114	323.560154	42.710883	263.2	A1							B5 IV-V  Si	vgood
J213708.91+421717.7	255308032	324.287132	42.28826	59.45	A5	10100.7	75.81	0.065	0.826	0.108	3.843	B9.5 IV  Si	good
J213851.85+402715.2	172205101	324.716057	40.454233	98.16	F0	7054.61	43.05	0.035	0.119	0.06	3.957	F2 V Sr Sr	good
J214100.32+371632.2	473304040	325.2513356	37.2756231	96.1	F0	7260.45	67.64	0.055	-0.01	0.094	3.857	kA3hA7mF0  SiEu	
J214133.27+484922.8	1047115033	325.38865	48.823001	65.89	A2	9361.37	65.33	0.056	0.622	0.093	3.565	A0 IV  (Sr)Si	good
J214602.59+544230.1	837614212	326.510823	54.708388	103.78	A1	12219.5	50.5	0.04	0.969	0.07	3.819	B8 IV  Si	good
J215713.35+142144.8	378803109	329.305654	14.362449	85.57	F0	7622.16	279.21	0.231	0.297	0.39	3.511	kA2hA5mA8  SiEu	
J220958.54+515550.8	1159214153	332.4939275	51.9308037	142.27	A1							A0 II  SrSi	vgood
J221316.77+502829.2	1146310118	333.3198768	50.4747999	92.12	A1							kA0hA2mA5  Si	
J221343.92+523856.4	1159216078	333.433011	52.6490114	59.17	A1							kB8hA1mA5  SiEu	
J221541.20+524944.5	1159216135	333.921705	52.8290338	142.87	A1							A0 III  Si	vgood
J221747.63+531008.7	1146316036	334.4484801	53.1690973	75.91	A1							B9.5 IV  Si	vgood
J225119.98+554414.6	275002187	342.833261	55.737401	67.9	A2							B9 II-III	vgood
J225212.89+561124.2	275010154	343.053738	56.190064	52.79	A5	9313.05	58.36	0.05	0.82	0.083	4.132	A1 IV-V  SrSiEu	good
J230336.82+584717.0	275011058	345.903443	58.78807	190.64	A1	12069.4	12.23	0.008	0.433	0.016	4.02	B8 IV-V  Si	vgood
J230415.79+581745.8	270409108	346.0658228	58.2960714	81.01	A1	9983.91	42.27	0.035	0.439	0.059	3.586	B9 V  Si	vgood
J230919.43+420034.0	855302230	347.330967	42.009467	117.11	F0							kA3hA7mA8  Si	
J230946.20+314921.4	370913080	347.442528	31.82263	138.75	A5	9189.04	91.27	0.068	0.884	0.122	4.153	A1 IV  SrSiEu	good
J231315.03+455021.0	855311126	348.313096	45.840289	97.18	A2	10258.7	44.12	0.036	0.692	0.061	3.696	A1 V  SrSi	vgood
J231551.45+455315.8	855311218	348.964404	45.887741	185.75	A1	10199.5	47.72	0.032	0.319	0.061	3.527	B9 V  Si	vgood
J232338.67+492340.1	469209162	350.9111567	49.3944925	131.1	F0							A9 V  SrSiEu	good
J232514.22+394024.3	482509062	351.309253	39.673418	78.82	F0	7292.33	113.25	0.095	-0.038	0.159	3.85	kA3hA7mA9  SiEu	
J232736.65+485243.2	1049102048	351.9027167	48.8786722	67.48	A5	9706.93	88.34	0.075	0.864	0.125	4.266	A2 III-IV  SrSiEu	good
J233030.57+552828.4	392508011	352.627405	55.474568	82.68	F0	7302.65	41.93	0.035	-0.315	0.059	4.074	F0 mA5 metal weak	
J233940.94+521202.8	689012060	354.92061	52.200796	268.17	A2	11330.9	57.56	0.032	0.977	0.071	3.778	M2 III-IV	poor
J234035.36+625120.8	1169814064	355.1473355	62.855797	155.77	A1							B9.5 IV-V  Si	good
J234322.43+632532.9	1169816097	355.8434975	63.4258129	259.28	A1							B9 IV  Si	vgood
J234602.85+675259.4	1170716144	356.5119002	67.8831746	181.9	A1							B9 V  Si	vgood
J234629.78+623717.4	1146714101	356.6240883	62.6215017	53.52	A1	10868.2	34.09	0.029	0.455	0.049	3.696	A0 III  Si	good
J234706.60+711640.1	1171402112	356.7775087	71.277815	137.08	A1							B9 II-III  Si	vgood
J234714.71+623751.7	1146714120	356.8113012	62.6310336	50.19	A1	9747.2	46.71	0.04	0.187	0.067	3.516	A0 III-IV  Si	good
J234819.92+615209.5	1146703038	357.0830412	61.8693219	109.61	A1	10694.3	38.3	0.03	0.412	0.053	3.587	A0 III	vgood
J234842.73+610140.0	1169802060	357.1780455	61.027778	104.06	A1							Unclassifiable	
J235219.97+625441.7	1146715122	358.0832135	62.9115844	97.61	A1	12213.2	30.13	0.024	0.835	0.042	4.032	kA0hF1mG1	
J235232.85+621104.8	1146703091	358.1369154	62.1846868	58.22	A3							kA0hA2mA3  Si	
J235243.99+614115.2	1146703012	358.1832978	61.687577	107.28	A5							kA0hA3mA8  Si	
J235249.42+613310.1	1146703017	358.2059321	61.5528159	83.17	A1	12039.7	43.21	0.036	0.901	0.061	3.925	B9 III  Si	vgood
J235405.32+661651.1	1170703085	358.5221944	66.2808865	315.37	A1							B9 V  Si	vgood
J235446.69+613551.2	1146703204	358.6945757	61.5975611	153.91	A1	12366.9	29.14	0.021	0.834	0.038	3.942	A0 II-III  Si	vgood
J235521.17+624326.8	1146703128	358.8382137	62.7241316	50.77	A3	11660	43.43	0.038	0.85	0.062	3.917	A0 II-III  SrSi	vgood
J235709.82+735350.6	1171415142	359.2909297	73.8973967	276.12	A1							Unclassifiable	
J235830.97+524350.8	250915152	359.62907	52.730781	71.63	A1							kA0hA8mA5  Eu	
