DESIG,OBSID,RA,DEC,SN/g,SUBCLASS
LAMOST J094946.33+300751.6,18605207,147.443076,30.131023,60.24,G
LAMOST J060023.69+441013.6,426107033,90.098724,44.170448,55.42,A
LAMOST J110126.60+251338.9,15401093,165.360865,25.22748,51.91,G
LAMOST J025928.15+523513.6,253614018,44.867321,52.587134,55.28,A
LAMOST J062406.25+373327.4,118814075,96.026053,37.557629,84.38,Ap
LAMOST J055613.59+325456.6,187210078,89.056643,32.915734,86.8,Ap
LAMOST J154330.57+003038.9,51416185,235.87741,0.510815,127.63,K
LAMOST J065347.05+024946.1,368904144,103.445492,2.829493,431.79,B
LAMOST J053418.61+161201.2,374513230,83.577553,16.200359,65.69,M
LAMOST J062845.35+182033.9,435515162,97.188961,18.342761,243.83,A
LAMOST J035344.26+480933.8,177516011,58.43443,48.159416,83.85,Ap
LAMOST J062337.72+063821.7,442711224,95.907202,6.639362,79.4,Ap
LAMOST J230804.15+590846.4,275012231,347.017309,59.14623,112.99,B
LAMOST J100506.79+254132.0,11402091,151.278325,25.692236,53.05,G
LAMOST J060338.68+220747.6,485110036,90.91119,22.129913,187.79,A
LAMOST J062502.16+152610.6,268005194,96.259,15.436278,232.93,B
LAMOST J095250.79+321718.8,18615101,148.21163,32.28857,60.15,G
LAMOST J234204.95+273228.9,1302033,355.520661,27.541374,60.23,F
LAMOST J054737.77+333835.0,269309012,86.907402,33.643058,74.72,Ap
LAMOST J094512.62+294438.9,18602089,146.302599,29.744165,59.32,G
LAMOST J063833.95+283632.0,2603081,99.641483,28.608894,61.88,F
LAMOST J024641.15-024415.2,18110050,41.671482,-2.737568,53.59,G
LAMOST J154708.48+281542.0,51003244,236.78537,28.261686,81.86,K
LAMOST J015022.33+035421.8,18715162,27.593052,3.90608,57.51,G
LAMOST J033306.88+503720.3,393109058,53.278696,50.622319,71.86,A
LAMOST J060637.10+235416.0,483215068,91.654614,23.90445,158.07,A
LAMOST J220811.42-015233.6,101224,332.047586,-1.876001,51.31,F
LAMOST J053644.32+103255.2,427110043,84.184706,10.548682,223.1,A
LAMOST J115026.10+595905.1,49511122,177.60875,59.984764,72.74,K
LAMOST J233723.78+564117.4,392513142,354.349581,56.687742,134.96,B
LAMOST J062903.99+261339.0,901040,97.266664,26.227501,62.86,F
LAMOST J155011.43-013539.9,51404085,237.54765,-1.594418,145.38,K
LAMOST J100708.63-055604.6,426401186,151.785545,-5.934634,95.76,M
LAMOST J013933.70+303254.0,14703133,24.890445,30.548346,63.49,G
LAMOST J035419.22+531102.8,374611047,58.580115,53.18413,91.29,B
LAMOST J091357.90+275834.8,15903146,138.491252,27.976345,55.58,G
LAMOST J062058.67+013702.6,101202180,95.244498,1.617394,120.57,Ap
LAMOST J103617.92+222224.3,448215139,159.074687,22.373427,52.66,M
LAMOST J033518.25+441920.3,408707033,53.826055,44.322311,61.66,A
LAMOST J040912.57+275932.4,1406078,62.302416,27.99235,55.72,F
LAMOST J050825.83+445700.0,307310168,77.107626,44.950014,209.9,B
LAMOST J224421.51+312749.4,1209216,341.089665,31.463743,72.87,F
LAMOST J033818.04+052623.7,6604108,54.575207,5.439938,54.48,F
LAMOST J103439.99+293540.6,16016039,158.666649,29.594618,52.67,G
LAMOST J063450.48-001159.7,382106101,98.709742,-0.199934,82.44,B
LAMOST J043524.82+490053.7,393710096,68.852293,49.014926,87.43,B
LAMOST J104229.99+222730.3,448212153,160.624997,22.458417,52.27,M
LAMOST J013228.75+300500.4,15207010,23.119815,30.083452,53.38,G
LAMOST J063145.10+011242.1,382113228,97.937937,1.211714,59.87,B
LAMOST J162026.00+374316.3,50503215,245.108374,37.721201,50.75,K
LAMOST J102042.82+284618.2,14101050,155.178444,28.771742,186.05,G
LAMOST J234347.91+280522.0,1310154,355.949653,28.089468,86.85,F
LAMOST J192702.80+390606.5,52810192,291.761708,39.101833,109.89,K
LAMOST J060126.91+341242.6,312903096,90.362154,34.211861,97.66,B
LAMOST J095226.46+291427.8,50410220,148.110288,29.241074,58.78,K
