obsid,designation,snrg,class,subclass,gaia_source_id,ra,dec,teff,teff_err,feh_err,feh,logg_err,logg,spectral_type,quality,Teff,Feh,Logg
1171604167,J004124.05+565740.3,86.68,STAR,A1,424589029394678656,10.3502328,56.9611977,11822.9,32.81,0.027,0.729,0.046,3.819,B8 IV-V,good,11822.9¡À32.81,0.729¡À0.027,3.819¡À0.046
382115238,J062344.44+012625.5,113.05,STAR,A1,3123492052368807808,95.93490778,1.44042806,11826.9,25.71,0.02,0.265,0.035,4.141,B7 V  Si,vgood,11826.9¡À25.71,0.265¡À0.02,4.141¡À0.035
758401134,J061550.03+275939.0,117.67,STAR,A2,3433376451036323840,93.9584586,27.9941683,11827.5,33.91,0.026,0.762,0.046,3.924,kB9hA0mA2  SrSi,,11827.5¡À33.91,0.762¡À0.026,3.924¡À0.046
990204156,J062648.69+161347.6,128.78,STAR,A1,3369332681858813568,96.702879,16.229907,11828.3,24.68,0.019,0.601,0.033,4.252,B7 V  Si,good,11828.3¡À24.68,0.601¡À0.019,4.252¡À0.033
535714208,J041257.10+512116.2,121.78,STAR,A1,271729803299971712,63.2379397,51.3545086,11830.9,37.67,0.029,0.759,0.051,3.765,A0 II-III  Si,vgood,11830.9¡À37.67,0.759¡À0.029,3.765¡À0.051
1209014164,J062229.63+091804.9,66.25,STAR,A1,3325899528721544064,95.6234698,9.3013797,11846.1,41.4,0.035,0.834,0.059,3.96,Unclassifiable,,11846.1¡À41.4,0.834¡À0.035,3.96¡À0.059
1089214110,J065142.50+004910.1,51.48,STAR,A1,3113605072016093312,102.927092,0.819487,11854.1,36.6,0.032,0.852,0.052,4.068,B9 II-III  Si,good,11854.1¡À36.6,0.852¡À0.032,4.068¡À0.052
1206408021,J043419.63+452524.8,107.21,STAR,A1,253588754793143040,68.5818032,45.4235564,11858.6,45.06,0.036,0.979,0.062,3.806,B8 IV-V  Si,good,11858.6¡À45.06,0.979¡À0.036,3.806¡À0.062
1145709046,J052721.16+371230.0,82.83,STAR,A1,184317391934607104,81.8381871,37.2083601,11870.2,54.77,0.045,0.986,0.077,3.818,B9 II-III  Si,good,11870.2¡À54.77,0.986¡À0.045,3.818¡À0.077
1158209080,J021932.81+563243.3,140.74,STAR,A3,458321152784609792,34.8867242,56.5453836,11870.9,50.52,0.038,0.91,0.068,4.109,A1 II  (Sr)SiEu,good,11870.9¡À50.52,0.91¡À0.038,4.109¡À0.068
617406049,J012958.92+603535.1,100.6,STAR,A2,510598189039277312,22.495519,60.593093,11873.7,43.36,0.035,0.839,0.06,3.832,B8 IV  Si,vgood,11873.7¡À43.36,0.839¡À0.035,3.832¡À0.06
648615180,J061419.18+255452.0,80.31,STAR,A1,3426874660823933184,93.5799322,25.9144522,11878.8,29.39,0.024,0.725,0.041,4.08,Unclassifiable,,11878.8¡À29.39,0.725¡À0.024,4.08¡À0.041
1173307237,J064414.63+030124.9,54.08,STAR,A1,3127273066701336704,101.0609629,3.0236035,11881.1,55.34,0.048,0.667,0.079,3.805,A0 II-III  Si,vgood,11881.1¡À55.34,0.667¡À0.048,3.805¡À0.079
1016804088,J190812.85+482935.3,74.01,STAR,A1,2131117284281652992,287.053558,48.49315,11885.9,41.29,0.035,0.725,0.058,3.844,B9 III-IV  Si,fair,11885.9¡À41.29,0.725¡À0.035,3.844¡À0.058
1208114211,J045953.26+402407.4,92.59,STAR,A1,200791129837694848,74.9719491,40.402072,11890.6,45.03,0.037,0.892,0.063,3.858,B7 V  Si,good,11890.6¡À45.03,0.892¡À0.037,3.858¡À0.063
267701138,J062520.81+152630.0,152.35,STAR,A1,3368859857499120896,96.336745,15.441669,11895.9,17.14,0.012,0.443,0.023,4.329,B9 III,vgood,11895.9¡À17.14,0.443¡À0.012,4.329¡À0.023
1073813189,J015911.14+585514.6,68.21,STAR,A1,506280338157033088,29.796458,58.920745,11899.1,43.14,0.037,0.905,0.061,3.948,B9 II-III  Si ,poor,11899.1¡À43.14,0.905¡À0.037,3.948¡À0.061
1073509041,J044936.18+531322.5,67,STAR,A1,273045678195931776,72.400774,53.222944,11903.2,49.36,0.042,0.989,0.07,3.57,A0 II  Si,good,11903.2¡À49.36,0.989¡À0.042,3.57¡À0.07
1206411195,J042936.24+481634.0,195.65,STAR,A1,258024180397457792,67.4010046,48.2761243,11904.2,19.43,0.013,0.544,0.025,4.003,Unclassifiable,,11904.2¡À19.43,0.544¡À0.013,4.003¡À0.025
1048410196,J212526.87+323226.2,179.2,STAR,A1,1854102923170494848,321.3619639,32.5406338,11912.9,29.14,0.02,0.937,0.038,3.89,B9.5 III,good,11912.9¡À29.14,0.937¡À0.02,3.89¡À0.038
1186004234,J063136.37+201855.5,482.87,STAR,A2,3372923858634289664,97.9015706,20.3154193,11913,13.68,0.008,0.854,0.017,4.006,B8 IV-V  Si,vgood,11913¡À13.68,0.854¡À0.008,4.006¡À0.017
203706026,J061838.87+132901.0,57.14,STAR,A2,3332509796926340864,94.661964,13.483622,11917.5,45.45,0.039,0.81,0.065,3.971,B9 II-III  Si,good,11917.5¡À45.45,0.81¡À0.039,3.971¡À0.065
1073816246,J013536.90+602129.8,68.64,STAR,A1,509805509878684032,23.903755,60.358285,11917.6,33.82,0.029,0.612,0.048,4.032,B8 V  Si,vgood,11917.6¡À33.82,0.612¡À0.029,4.032¡À0.048
1207111063,J053339.39+340436.0,71.15,STAR,A1,3449550095283632512,83.4141333,34.0766719,11921.4,37.1,0.031,0.779,0.052,4.069,Unclassifiable,,11921.4¡À37.1,0.779¡À0.031,4.069¡À0.052
1207112113,J054029.84+333930.6,57.27,STAR,A1,3449338404934885248,85.1243449,33.6585254,11938.3,43.42,0.037,0.842,0.062,4.053,B8 IV-V  Si,vgood,11938.3¡À43.42,0.842¡À0.037,4.053¡À0.062
1204612122,J053930.56+281048.2,175.38,STAR,A1,3442597672804043136,84.8773748,28.180056,11942.6,23.34,0.016,0.725,0.03,3.887,B9 IV  Si,vgood,11942.6¡À23.34,0.725¡À0.016,3.887¡À0.03
